PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,VehBCost,IsOnlineSale,WarrantyCost,PurchDate2,IsBadBuy
0,0,2,4,9,125,26,117,1,0,0,0,62529,1,9,1,6552,7813,7576,8938,6859,7868,7908,8997,0,0,6,1,1,7825,0,1215,2,0
0,0,0,3,7,126,11,47,6,0,1,1,68473,1,3,3,6707,7760,7744,8881,6921,7918,7975,9051,0,0,6,1,1,6810,0,1703,2,0
0,0,0,3,2,147,7,8,1,0,0,0,77678,1,3,2,9512,12003,10773,13463,7025,8685,10592,12150,0,0,6,1,1,7595,0,1506,10,0
0,0,6,7,7,157,10,13,3,0,1,1,74134,1,2,3,1623,2510,2253,3211,1734,2527,2373,3229,0,0,6,1,1,2830,0,1455,10,0
0,0,3,2,1,142,6,64,6,0,1,1,63029,1,7,1,9163,10712,10396,12069,7651,8837,8763,10044,0,0,6,1,1,9105,0,1215,10,0
0,0,4,8,9,165,10,3,3,0,0,0,88072,1,0,1,2506,3391,3206,4162,2444,3266,3140,4027,0,0,3,1,1,3950,0,1803,7,0
0,0,2,4,9,153,26,153,11,0,0,0,64056,1,0,1,5829,7427,6795,8521,4705,6685,5581,7720,0,0,0,1,1,6025,0,1118,7,0
0,0,1,5,7,85,11,162,3,0,0,0,87873,1,1,3,7935,9928,9070,11222,6960,8678,11410,13583,0,0,0,1,1,9255,0,1243,7,0
0,0,0,3,7,127,11,47,1,0,1,1,57583,1,2,3,5190,6421,6105,7435,4832,5913,5719,6886,0,0,6,1,1,6585,0,671,7,0
0,0,1,5,1,180,14,21,1,0,0,0,64436,1,5,1,8989,10810,10208,12175,7407,8915,11416,12794,0,0,6,1,1,10715,0,1411,7,0
0,0,1,5,11,151,18,3,0,0,1,1,78616,0,0,0,3216,4344,3973,5192,3115,4209,5923,7472,0,0,6,1,1,4665,0,569,7,0
0,0,3,2,7,146,11,47,8,0,1,1,72849,1,0,3,7113,8115,8182,9264,6487,7691,7506,8806,0,0,2,1,1,6035,0,1038,7,0
0,0,0,3,9,125,26,90,3,0,0,0,60843,1,9,1,11149,13301,12541,14865,10393,12753,11724,14273,0,0,2,1,1,9015,0,1215,7,0
0,0,1,5,18,193,47,101,5,0,0,0,71105,1,5,3,5593,7320,6540,8406,5550,7589,6494,8696,0,0,2,1,1,7605,0,3667,7,0
0,0,1,5,4,196,5,114,5,0,1,1,56290,0,0,0,3475,4464,4253,5321,3375,4402,4145,5254,0,0,3,1,1,5065,0,671,8,0
1,0,3,3,14,46,12,3,0,1,1,1,78619,0,0,0,5370,6204,8806,10017,5140,6024,8511,9538,0,0,9,1,1,4480,0,569,2,0
1,0,3,3,2,7,6,7,0,0,0,0,83610,1,0,2,5520,6736,8881,10251,5551,6834,8597,10584,0,0,9,1,1,4980,0,983,2,0
1,0,0,4,7,51,11,13,9,0,1,1,86258,1,2,3,5338,6578,8518,10124,5407,6588,8580,9877,0,0,9,1,1,5190,0,853,3,0
1,0,2,5,11,84,18,3,3,0,1,1,70734,0,0,0,4343,5340,7017,8148,4001,5006,7323,8255,0,0,7,1,1,5300,0,569,4,0
1,0,0,4,7,104,28,121,3,0,1,1,59741,1,0,3,6336,7693,9514,11135,7102,8238,10547,11914,0,0,9,1,1,7310,0,837,4,0
1,0,1,6,9,207,12,30,7,0,0,0,75982,1,9,1,7118,8414,10682,12055,6773,8162,10831,13053,0,0,9,1,1,9525,0,1857,4,0
1,0,2,5,11,84,18,3,1,0,1,1,82543,0,0,0,3884,4998,6821,8597,4087,5192,7611,8709,0,0,6,1,1,5190,0,594,5,0
1,0,2,5,9,35,26,117,7,0,0,0,77870,1,9,1,6639,8129,10096,11475,6616,8006,10078,11508,0,0,6,1,1,8020,0,1389,5,0
1,0,4,9,6,12,61,180,7,0,1,1,90703,2,0,0,3152,4123,5465,7149,2677,3651,5051,6083,0,0,9,1,1,3950,0,1065,6,0
1,0,6,8,2,28,10,13,7,0,0,0,34858,1,8,2,3942,5071,6335,8070,3673,4739,6736,8182,0,0,9,1,1,7210,0,882,6,0
1,0,0,4,13,80,10,7,4,0,1,1,70295,1,0,3,6269,7494,9498,10789,6024,7194,9526,10638,0,0,9,1,1,6100,0,1038,6,0
1,0,2,5,9,59,10,3,5,0,1,1,52257,1,0,1,4063,5216,7574,8756,3490,4500,7219,8099,0,0,9,1,1,5700,0,1086,6,0
1,0,6,8,1,41,14,183,6,0,0,0,82121,1,5,1,3795,4907,7000,9052,3924,5028,7364,8457,0,0,9,1,1,5540,0,1803,6,0
1,0,6,8,5,218,8,16,5,0,0,0,84685,1,5,3,5455,6665,8762,9875,5409,6673,8358,9792,0,0,3,1,1,6480,0,2452,11,0
1,0,7,2,0,0,0,0,4,0,1,1,56542,0,0,0,11156,12557,14778,15834,10866,12382,14592,16129,0,0,9,1,1,8620,0,837,11,0
1,0,2,5,7,221,11,55,11,0,0,0,71965,1,5,3,7882,9621,12225,13833,7144,8936,11440,13260,0,0,9,1,1,8110,0,1974,11,0
1,0,0,4,5,9,8,9,1,0,0,0,80503,1,1,3,7328,8703,12335,13653,6664,7917,10348,11917,0,0,9,1,1,7510,0,1373,11,0
1,0,0,4,1,11,10,11,4,0,1,1,78035,1,4,1,6379,7879,10509,12198,5924,7615,10330,12166,0,0,9,1,1,7620,0,1623,10,0
1,0,5,7,6,212,64,180,1,0,0,0,97543,2,3,0,4849,5978,8592,9824,4986,6189,8334,9453,0,0,9,1,1,5990,0,1641,10,0
1,0,3,3,1,24,23,39,7,0,0,0,72222,1,5,1,5605,6192,5501,4010,5624,6197,5512,17566,0,0,9,1,1,11340,0,1623,7,0
1,0,6,8,7,228,15,25,11,0,0,0,81645,1,1,3,8260,9592,11670,13762,7271,9606,11189,13988,0,0,9,1,1,10530,0,2712,7,0
1,0,7,2,14,46,12,3,2,0,1,1,79547,0,0,0,6373,7064,9652,10699,6590,7636,9512,10743,0,0,9,1,1,4680,0,569,7,0
1,0,7,2,1,106,10,150,4,0,1,1,74214,1,7,1,10232,11433,14163,15522,10054,11360,14002,15390,0,0,9,1,1,8930,0,1389,7,0
1,0,5,7,7,13,11,47,3,0,0,0,74618,1,2,3,2284,3117,4959,5880,2247,3263,4765,5851,0,0,9,1,1,4705,0,1455,7,0
1,0,1,6,17,63,31,195,1,0,0,0,75777,1,0,3,3098,4131,6245,7337,2780,3883,5451,6184,0,0,9,1,1,4740,0,1506,7,0
1,0,5,7,7,230,66,196,7,0,0,0,91080,1,6,3,7682,9668,12192,13861,8166,9142,13206,14785,0,0,9,1,1,10580,0,2218,8,0
1,0,3,3,9,75,26,154,1,0,0,0,89102,1,0,1,7822,9252,11512,13225,7700,8926,11083,12389,0,0,9,1,1,7150,0,1243,8,0
1,0,3,3,7,16,11,47,3,0,1,1,70819,1,3,3,7571,8806,10692,11995,8440,9842,11617,13154,1,1,9,1,1,8450,0,1974,8,0
1,0,0,4,7,85,11,9,3,0,1,1,85621,1,1,3,6031,7923,9023,11400,6408,8178,10304,12560,1,1,9,1,1,7760,0,1373,9,0
1,0,5,7,1,24,16,82,4,0,0,0,85009,1,5,1,4811,6318,8375,9712,4739,6429,8481,10019,0,0,9,1,1,5030,0,2063,9,0
1,0,3,3,14,74,12,3,3,0,1,1,69878,0,2,0,4817,5939,7852,8582,5013,5974,8547,9765,1,1,9,1,1,4690,0,533,9,0
0,0,3,2,4,234,5,6,1,0,1,1,48895,0,0,0,4264,5332,5105,6259,4455,5326,5311,6252,0,0,10,2,2,6010,0,482,11,0
0,0,3,2,7,127,11,47,5,0,1,1,67835,1,2,3,6228,7055,7226,8119,5288,6182,8889,9765,0,0,10,2,2,5810,0,728,11,0
0,0,6,7,16,239,67,200,13,1,0,0,91082,2,2,0,4818,6234,5703,7233,4271,4893,7238,8021,0,0,10,2,2,7315,0,1065,10,0
0,0,0,3,7,126,28,93,0,0,0,0,73498,1,3,3,7622,9233,8732,10472,6518,7611,10385,11780,0,0,8,2,2,7515,0,1974,7,0
0,0,2,4,7,157,10,13,12,1,1,1,62905,1,2,3,3354,4810,4122,5695,3084,3974,3831,4792,0,0,8,2,2,3295,0,1020,7,0
0,0,2,4,9,149,10,3,3,0,0,0,78348,1,0,1,3769,4912,4571,5805,3475,4658,6936,7832,0,0,8,2,2,6315,0,1155,7,0
0,0,0,3,1,161,2,3,3,0,0,0,74428,1,0,1,4947,6392,5843,7403,3405,4137,6587,7519,0,0,8,2,2,6110,0,1155,8,0
0,0,3,2,1,249,6,175,3,0,1,1,73665,1,4,1,6659,8432,7692,9607,6434,7661,10007,11682,0,0,8,2,2,4705,0,1623,8,0
0,0,1,5,8,176,38,203,4,1,0,0,73730,1,0,3,4767,6336,5648,7343,4304,5644,7229,8683,0,0,8,2,2,4905,0,1038,8,0
0,0,0,3,9,149,10,3,11,0,0,0,40113,1,0,1,5097,6516,6005,7537,4328,5579,7612,8831,0,0,8,2,2,6315,0,834,8,0
0,0,0,3,1,11,2,12,7,0,0,0,86988,1,4,1,8712,11343,9909,12750,7828,10212,12300,14589,0,0,11,2,2,6545,1,1763,9,0
0,0,3,2,15,261,16,44,1,0,0,0,81727,1,10,1,9744,11082,11024,12469,8263,9101,11729,12523,0,0,11,2,2,8125,1,983,9,0
0,0,3,2,9,59,26,3,4,0,1,1,42870,1,0,1,5486,6334,9273,10291,6170,7100,9391,10536,0,0,11,2,2,5800,1,975,0,0
1,0,0,4,1,2,2,3,1,0,0,0,56510,1,0,1,3745,4768,7467,8332,5051,5573,8547,9133,0,0,11,2,2,5520,1,1086,1,0
1,0,1,6,7,62,11,47,1,0,0,0,80811,1,0,3,4316,5372,7937,9037,4840,5957,7811,9085,0,0,11,2,2,5920,1,1373,1,0
1,0,0,4,9,27,10,3,1,0,1,1,78724,1,7,1,8945,10534,12911,14621,10119,11611,14134,15616,0,0,11,2,2,7525,1,1389,2,0
1,0,3,3,7,105,11,47,4,0,1,1,50870,1,2,3,4979,5860,8919,10497,5270,6245,7819,9066,0,0,10,2,2,5720,0,671,2,0
1,0,3,3,4,6,5,6,5,0,1,1,35790,0,0,0,5784,6868,9442,10355,5892,6975,9276,10170,0,0,10,2,2,6525,0,462,2,0
1,0,5,7,7,50,11,215,0,0,0,0,74434,1,6,3,8145,9562,12359,14199,9087,9913,12510,13582,0,0,11,2,2,8910,1,1923,2,0
1,0,0,4,7,85,11,216,6,0,1,1,66801,1,1,3,8378,10543,12568,14986,9073,11066,13190,14710,0,0,11,2,2,8310,1,1118,3,0
1,0,2,5,7,62,11,47,1,0,0,0,87227,1,0,3,5368,6430,8486,9588,5049,6392,8185,10159,0,0,11,2,2,5790,1,1373,3,0
1,0,2,5,13,39,10,3,4,0,0,0,59237,1,0,3,6292,7502,9627,10953,5869,7110,9295,10522,0,0,11,2,2,8105,1,1003,3,0
1,0,3,3,2,8,7,8,3,0,0,0,81858,1,3,2,8843,10459,12063,13935,8370,10433,12262,14115,0,0,11,2,2,7725,1,1633,3,0
1,0,0,4,8,40,22,37,6,0,1,1,63786,1,0,3,5556,6766,8833,10258,5219,6435,8549,9615,0,0,11,2,2,5620,1,728,4,0
1,0,5,7,9,64,5,218,5,0,0,0,88634,1,4,1,3725,4958,7137,8369,4280,5579,7363,8980,0,0,11,2,2,5720,1,2063,4,0
1,0,7,2,1,106,10,150,1,0,0,0,60700,1,7,1,11601,12521,15597,16350,11563,12605,15913,16460,0,0,11,2,2,10570,1,1215,4,0
1,0,7,2,9,75,17,114,4,0,1,1,51548,1,0,1,8280,8959,12062,12529,7785,8485,11868,12441,0,0,11,2,2,8325,1,920,5,0
1,0,7,2,7,36,28,221,6,0,0,0,80272,1,3,3,9608,11042,14586,16763,8923,10035,12654,13912,0,0,11,2,2,8135,1,2152,5,0
1,0,0,4,2,10,42,103,7,0,3,3,66551,1,1,2,8465,11141,12964,15151,9210,12036,13428,16036,0,0,11,2,2,7435,1,533,5,0
1,0,1,6,13,205,20,222,3,0,0,0,71542,1,0,3,3266,4312,6473,7646,3949,5553,7753,10902,0,0,11,2,2,5025,1,2208,5,0
1,0,0,4,7,99,28,121,7,0,0,0,67860,1,0,3,6601,7995,10294,11530,5776,7299,9625,11153,0,0,11,2,2,6935,1,1118,5,0
1,0,0,4,4,6,5,3,7,0,1,1,49058,0,0,0,5164,6375,8431,9814,4615,5654,7510,8821,0,0,11,2,2,6030,1,482,5,0
1,0,0,4,4,274,17,165,11,0,0,0,70794,0,10,0,7084,8061,10492,11435,6611,7614,9988,11245,0,0,11,2,2,7935,1,920,6,0
1,0,1,6,6,37,6,33,6,0,0,0,94813,2,5,0,6332,7295,9677,10820,7006,8173,10502,11383,1,1,16,3,3,8005,0,620,9,0
1,0,3,3,2,28,10,13,7,0,0,0,74080,1,8,2,9764,11265,14423,15488,9448,11141,13522,14966,0,0,16,3,3,9155,0,803,9,0
1,0,1,6,6,34,51,29,7,0,1,1,104368,2,2,0,3402,4240,6194,7539,3922,4708,7003,7637,1,1,16,3,3,3210,0,650,0,0
1,0,3,3,2,42,6,7,2,0,0,0,83073,1,0,2,8923,10680,12765,14434,8380,10122,12019,13994,0,0,16,3,3,8555,0,853,0,0
1,0,7,2,7,36,28,102,6,0,0,0,96000,1,3,3,8410,9518,12976,14064,8416,9896,12702,14325,0,0,19,4,4,7320,0,2351,8,0
1,0,3,3,2,56,7,53,6,0,0,0,82974,1,9,2,9560,12752,13266,15846,10253,12206,13895,15409,0,0,19,4,4,7590,0,1633,8,0
1,0,2,5,7,16,11,47,8,0,0,0,77689,1,3,3,3987,5376,7312,8996,5011,6601,8231,10070,0,0,19,4,4,6055,0,1974,8,0
1,0,7,2,7,36,11,31,6,0,1,1,73244,1,3,3,7811,8729,12005,12926,7737,8893,11957,13225,0,0,19,4,4,8435,0,1974,8,0
1,0,0,4,4,6,5,3,5,0,1,1,60773,0,0,0,4257,5911,7483,8809,4372,5401,7611,8500,1,1,13,4,4,4960,1,533,9,0
1,0,3,3,7,36,28,93,4,0,0,0,65990,1,3,3,7549,8858,11220,12776,7635,9001,11314,13071,0,0,20,4,4,8605,0,1703,9,0
1,0,7,2,7,36,28,102,8,0,0,0,70342,1,3,3,8205,9335,12238,13486,8905,10501,12796,14310,0,0,11,4,4,8035,1,1974,9,0
0,0,0,3,14,248,12,3,7,0,1,1,22500,0,2,0,4676,5426,5550,6360,4883,5866,5774,6835,0,0,16,5,5,4685,0,462,3,0
0,0,6,7,2,233,29,192,6,0,0,0,95566,1,0,2,2842,3745,3569,4545,2938,3634,3673,4425,0,0,16,5,5,3910,0,1353,3,0
0,0,0,3,2,285,9,235,1,0,0,0,73380,1,1,2,8190,10153,9345,11465,7661,9995,8774,11295,0,0,18,5,5,7235,0,803,3,0
0,0,3,2,1,300,2,28,4,0,1,1,59913,1,0,1,8478,9551,9656,10815,7919,9027,9053,10249,0,0,15,5,5,7460,0,754,3,0
0,0,0,3,7,148,28,121,2,0,0,0,81710,1,0,3,7011,8615,8072,9804,6709,8059,7746,9204,0,0,15,5,5,5510,0,1373,3,0
0,0,1,5,13,162,53,146,8,0,0,0,72029,1,3,3,6032,7518,7015,8619,6032,7518,7015,8619,0,0,21,5,5,6640,0,2208,4,0
0,0,1,5,2,302,9,244,2,0,0,0,76764,1,1,2,7101,8087,8169,9234,7101,8087,8169,9234,0,0,21,5,5,9150,0,803,4,0
0,0,1,5,7,137,10,3,2,0,1,1,79012,1,3,3,3643,4910,4434,5803,3643,4910,4434,5803,0,0,21,5,5,5610,0,1974,4,0
0,0,3,2,1,300,2,28,0,0,1,1,49146,1,0,1,8268,9772,9429,11054,8268,9772,9429,11054,0,0,18,5,5,7540,0,693,5,0
0,0,3,2,2,318,7,53,4,0,0,0,75967,1,9,2,11412,14485,12825,16144,13081,15894,14627,17666,0,0,17,5,5,9075,0,1506,6,0
0,0,0,3,1,319,23,82,7,0,0,0,83523,1,5,1,11393,13586,12804,15173,11956,14377,13412,16027,0,0,17,5,5,8755,0,1763,6,0
1,0,2,5,13,119,20,253,0,1,0,0,63835,1,0,3,6267,8411,9703,12433,5046,6563,7967,9973,0,0,22,5,5,7905,0,533,8,0
1,0,0,4,2,7,6,7,7,0,0,0,88753,1,0,2,3737,4862,7482,8499,4891,6354,7971,9573,1,1,22,5,5,5960,0,983,8,0
1,0,7,2,2,116,6,7,1,0,0,0,90972,1,0,2,10421,12212,14171,15871,11096,13200,14620,16461,0,0,26,5,5,8465,0,1485,9,0
1,0,7,2,13,39,20,35,7,0,0,0,67478,1,0,3,8326,9870,11742,13500,10680,12735,13218,15687,1,1,26,5,5,8350,0,1118,9,0
1,0,7,2,1,113,6,3,0,0,0,0,64288,1,0,1,8029,8937,12190,12971,7583,8885,11873,12966,0,0,26,5,5,7965,0,1118,0,0
1,0,0,4,10,217,10,3,6,0,0,0,81884,1,0,2,5114,6078,8503,9474,6841,8739,10681,11952,0,0,26,5,5,7150,0,853,0,0
0,0,2,4,2,31,6,238,11,0,1,1,71125,1,4,2,4230,5435,8032,9346,3281,4369,7430,8463,0,0,28,6,6,5775,0,1506,0,0
0,0,7,1,7,36,28,221,7,0,0,0,78188,1,3,3,9894,11271,14148,16045,10092,12400,14758,17457,0,0,28,6,6,7570,0,1974,0,0
1,0,7,2,7,104,11,233,6,0,1,1,60264,1,0,3,7648,8456,12379,13039,8604,9700,11817,12979,0,0,28,6,6,7125,0,923,1,0
1,0,3,3,7,16,11,47,1,0,1,1,56645,1,3,3,6810,7864,10328,11636,7091,8208,10393,11954,0,0,28,6,6,7625,0,1500,1,0
1,0,5,7,15,201,16,66,1,0,0,0,71383,1,10,1,5323,6662,8269,9558,5626,6653,8645,9702,0,0,6,6,6,6640,0,1220,2,0
1,0,0,4,13,44,10,3,4,0,0,0,84034,1,3,3,6464,7870,10738,13073,6960,8321,10293,11912,0,0,28,6,6,6640,0,2152,2,0
